// Compost colors for forestry. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_desert_boat, #909e75
greenheart_sign, #5a8261
hardened_machine, #c0e8ff
hill_cherry_boat, #b98233
hill_cherry_chest_boat, #a77832
hill_cherry_door, #eeac41
hill_cherry_hanging_sign, #c99140
hill_cherry_sign, #ca8a36
hoe_kit, #e0b269
honey_drop, #ffe42d
honey_pot, #ffffd9
honeydew, #e88a37
honeyed_slice, #dc9a28
ice_shard, #ffffff
impregnated_casing, #c5894e
impregnated_stick, #614823
ingot_bronze, #ffee6f
ingot_tin, #faffff
iodine_capsule, #d3b5ee
ipe_boat, #6c432c
ipe_chest_boat, #78502c
ipe_door, #8c4e36
ipe_hanging_sign, #724836
ipe_sign, #6b3e29
jacaranda_boat, #d4b6e3
jacaranda_chest_boat, #b99898
jacaranda_door, #cdb2d9
jacaranda_hanging_sign, #d2b9dd
jacaranda_sign, #ddc5ea
kapok_boat, #756936
kapok_chest_boat, #7d6832
kapok_door, #79733c
kapok_hanging_sign, #7a7641
kapok_sign, #736f39
kauri_boat, #f7af61
kauri_chest_boat, #cd944e
kauri_door, #eda85e
kauri_hanging_sign, #f5b570
kauri_sign, #febb73
kit_pickaxe, #e4b569
kit_shovel, #e3b468
larch_boat, #dd9e87
larch_chest_boat, #be8a65
larch_door, #ffbfa8
larch_hanging_sign, #f1af9b
larch_sign, #f0aa98
letter_big_emptied, #c69b58
letter_big_fresh, #d9ac65
letter_big_opened, #c69e5f
letter_big_stamped, #e4c087
letter_empty_emptied, #fffff0
letter_empty_fresh, #ffffee
letter_empty_opened, #fffee0
letter_empty_stamped, #fffee1
letter_small_emptied, #c69b5a
letter_small_fresh, #dcae65
letter_small_opened, #c69e5f
letter_small_stamped, #e7c38a
lime_boat, #cda070
lime_chest_boat, #b58a55
lime_door, #ffcc93
lime_hanging_sign, #deb282
lime_sign, #e8b682
macrocarpa_boat, #c38e58
macrocarpa_chest_boat, #b18046
macrocarpa_door, #e0a469
macrocarpa_hanging_sign, #c99661
macrocarpa_sign, #d29a64
magmatic_drop, #ffb24e
mahoe_boat, #8296a1
mahoe_chest_boat, #868475
mahoe_door, #80a5bf
mahoe_hanging_sign, #87a5bc
mahoe_sign, #8aaabc
mahogany_boat, #684134
mahogany_chest_boat, #764e30
mahogany_door, #78504a
mahogany_hanging_sign, #734a44
mahogany_sign, #784a41
maple_boat, #b5722d
maple_chest_boat, #a76f2c
maple_door, #ca802d
maple_hanging_sign, #b97a3a
maple_sign, #c38341
mouldy_wheat, #9a8728
mulch, #724e29
naturalist_helmet, #c9cdc8
olive_boat, #697329
olive_chest_boat, #797029
olive_door, #6e782d
olive_hanging_sign, #727c39
olive_sign, #7c7d34
orange_boat, #ff8044
orange_chest_boat, #dd793a
orange_door, #ff9657
orange_hanging_sign, #ff8c52
orange_sign, #ff9155
padauk_boat, #aa5f33
padauk_chest_boat, #a06230
padauk_door, #af5b2d
padauk_hanging_sign, #bc6c3e
padauk_sign, #cf7539
palm_boat, #cd7d43
palm_chest_boat, #b4753a
palm_door, #f79646
palm_hanging_sign, #e38d50
palm_sign, #ea8c44
papaya_boat, #fcd250
papaya_chest_boat, #d0a844
papaya_door, #fff864
papaya_hanging_sign, #ffea65
papaya_sign, #fff25e
pear_boat, #c8795b
pear_chest_boat, #b17348
pear_door, #d6895c
pear_hanging_sign, #c38366
pear_sign, #c67c5f
peat, #3a1904
pewen_boat, #e3cc8d
pewen_chest_boat, #c2a568
pewen_door, #ead396
pewen_hanging_sign, #e3cc96
pewen_sign, #edd298
phosphor, #76fff5
phosphor_lantern, #d6ffff
phosphor_torch, #aaa77a
phosphorescent_jelly, #55ffe3
pine_boat, #f2bf69
pine_chest_boat, #ca9b50
pine_door, #ffd26e
pine_hanging_sign, #eabf72
pine_sign, #f5c06f
pipette, #ffa7ff
plum_boat, #b16876
plum_chest_boat, #a2685a
plum_door, #be6482
plum_hanging_sign, #c0708c
plum_sign, #cd7387
pollen_cluster_crystalline, #ffffff
pollen_cluster_normal, #ffffff
pollen_fertile, #ffffff
poplar_boat, #ddd765
poplar_chest_boat, #beac52
poplar_door, #f7f468
poplar_hanging_sign, #f0f07c
poplar_sign, #fbfe87
portable_alyzer, #c2dee1
propolis_normal, #e1c6ee
propolis_pulsating, #e1c6ee
propolis_silky, #e1c6ee
propolis_volcanic, #e1c6ee
pulsating_dust, #239a86
pulsating_mesh, #84a8da
rainbow_candle, #b98d86
raw_tin, #d7cfbe
refractory_candle, #cf3a47
refractory_wax, #d24741
royal_jelly, #ffff80
scented_paneling, #e89b8c
scoop, #cdc2ab
scoop_proven, #eed99e
sequoia_boat, #8a584e
sequoia_chest_boat, #8c5e41
sequoia_door, #915e4e
sequoia_hanging_sign, #93645f
sequoia_sign, #a16152
serum_ge, #dde8ff
silicon, #9194a8
silk_wisp, #ffb6ff
smoker, #b2a79a
solar_cell, #4475dd
soldering_iron, #f5a7dd
stamp_100n, #ffffff
stamp_10n, #ffffff
stamp_1n, #ffffff
stamp_20n, #ffffff
stamp_2n, #ffffff
stamp_50n, #ffffff
stamp_5n, #ffffff
sturdy_machine, #ffcc6e
sword_kit, #eab96c
teak_boat, #807662
teak_chest_boat, #84704e
teak_door, #91896f
teak_hanging_sign, #878375
teak_sign, #827d6c
tin_chain, #ffffff
tin_nugget, #dcedfb
walnut_boat, #5e4a37
walnut_chest_boat, #6f5533
walnut_door, #6b553e
walnut_hanging_sign, #665547
walnut_sign, #695a47
wenge_boat, #5a4e3e
wenge_chest_boat, #6e5837
wenge_door, #615843
wenge_hanging_sign, #5e584e
wenge_sign, #5f584d
willow_boat, #a09a50
willow_chest_boat, #988743
willow_door, #b4b558
willow_hanging_sign, #b4b562
willow_sign, #bfbe68
wood_pulp, #d0a057
woven_silk, #ffebff
wrench, #ffee72
zebrawood_boat, #a1805f
zebrawood_chest_boat, #9b7a4e
zebrawood_door, #af8a69
zebrawood_hanging_sign, #bb9a79
zebrawood_sign, #bf9772
